method,intra_cor,imp_V0,imp_V1
0.5*CPI,0.0,2.8595781449994067,0.7383409996207039
0.5*CPI,0.05,3.166161027095851,0.6212726012740982
0.5*CPI,0.1,2.67888954444693,1.2337756587293323
0.5*CPI,0.2,4.437629667849114,1.0043901431966873
0.5*CPI,0.3,2.492233087035366,0.638172071719982
0.5*CPI,0.5,3.558523285330147,1.1218548082127104
0.5*CPI,0.65,3.1541257134280256,0.6445810670901329
0.5*CPI,0.85,0.7253095608389273,0.19949470452980522
PFI,0.0,2.3913454063710033,1.2150577051099085
PFI,0.05,2.516293566670771,1.1145781368895467
PFI,0.1,2.275260302268018,1.5706881061465485
PFI,0.2,2.978999871544273,1.4171769902436406
PFI,0.3,2.3861312413988283,1.2142044761443376
PFI,0.5,2.607429718239651,1.4339428835298604
PFI,0.65,3.271923720245664,1.4352647481151655
PFI,0.85,1.8393392521670202,0.984808700611057
LOCO-W,0.0,1.8798674624921816,0.6141613779379294
LOCO-W,0.05,2.411025125477106,0.5496397901343023
LOCO-W,0.1,2.361617796542757,1.180245520391746
LOCO-W,0.2,3.4614823874281404,0.3840549136392623
LOCO-W,0.3,2.420941512848233,0.40398608011327186
LOCO-W,0.5,1.476077281000993,0.7435958956000855
LOCO-W,0.65,0.9398371821659169,0.2751007347758577
LOCO-W,0.85,0.29645548624402085,0.05134377842964157
LOCO-HD,0.0,2.556122917807121,0.8612484118831069
LOCO-HD,0.05,3.5504658147753467,0.6407129831719043
LOCO-HD,0.1,3.4247925335300087,1.1769010832493054
LOCO-HD,0.2,4.835225929744911,1.1667175063779907
LOCO-HD,0.3,2.9711824648780865,0.6926454667937982
LOCO-HD,0.5,3.130140843019374,1.0524859694769146
LOCO-HD,0.65,2.712524067544399,0.6908521716727639
LOCO-HD,0.85,0.8024369687293768,0.2207176493413517
Robust-CPI,0.0,2.5939419128370065,0.874533989844755
Robust-CPI,0.05,3.639314370973564,0.6693031658952873
Robust-CPI,0.1,3.4348493443909507,1.249168764398717
Robust-CPI,0.2,4.668573429976715,1.0230274871872778
Robust-CPI,0.3,3.1882821845135885,0.6806063772212563
Robust-CPI,0.5,3.0535506036015088,0.992909504280625
Robust-CPI,0.65,2.789562204956139,0.6599562089262067
Robust-CPI,0.85,0.6632768693465165,0.20152449909816364
0.5*CPI,0.0,5.225733659174663,0.9915178714712377
0.5*CPI,0.05,1.6047116029590394,0.9428460779109166
0.5*CPI,0.1,2.7284437952419034,0.7244715100382616
0.5*CPI,0.2,4.3813038759420095,1.0612966120154324
0.5*CPI,0.3,3.3822575677018563,0.7467079901786549
0.5*CPI,0.5,1.5751306951588382,0.6445739924817566
0.5*CPI,0.65,1.9847127556003532,0.4618606345978229
0.5*CPI,0.85,1.1826737482932848,0.2885281904925342
PFI,0.0,3.2327383786409936,1.4080684811185358
PFI,0.05,1.791355366315348,1.373074122741871
PFI,0.1,2.3358713164114167,1.2498848481432165
PFI,0.2,2.9600041697323984,1.4567461735607217
PFI,0.3,2.849208529611815,1.3463917826432197
PFI,0.5,2.4988385085963465,1.5710106174298024
PFI,0.65,3.348574737529994,1.6062474292088391
PFI,0.85,3.3024222840992903,1.609273540791735
LOCO-W,0.0,3.4042388013224874,0.5655049810597054
LOCO-W,0.05,2.191743664737837,1.4392751076759953
LOCO-W,0.1,2.2195613377636096,0.5471470499447662
LOCO-W,0.2,2.592775702479397,0.23948757501050802
LOCO-W,0.3,2.6607793315905135,0.5204269625499308
LOCO-W,0.5,0.7995584003357951,0.22716979491796313
LOCO-W,0.65,1.9084764843337698,0.15768173676838457
LOCO-W,0.85,0.40061544737904015,0.07477666377623483
LOCO-HD,0.0,4.206901434752077,0.9909234294174795
LOCO-HD,0.05,2.525300444159752,0.9065218048938947
LOCO-HD,0.1,2.5062542959292466,0.7589320932439126
LOCO-HD,0.2,4.604749402630497,1.0841996883323908
LOCO-HD,0.3,4.014188255300348,0.6901079548108622
LOCO-HD,0.5,2.3635334397502406,0.6192294652660606
LOCO-HD,0.65,2.3719929827829724,0.4253567796041118
LOCO-HD,0.85,1.4430463041278287,0.34408482190493606
Robust-CPI,0.0,4.191882169321598,0.9432436649434406
Robust-CPI,0.05,2.7265409076538023,1.007528643359955
Robust-CPI,0.1,2.3837963563137996,0.7268310495581186
Robust-CPI,0.2,4.868087323366485,1.0888904495920648
Robust-CPI,0.3,3.8215144683641538,0.6311185706450355
Robust-CPI,0.5,2.415712685256825,0.5760413002141346
Robust-CPI,0.65,2.510511943112092,0.456843360827817
Robust-CPI,0.85,1.3936105920801474,0.32835843791750124
0.5*CPI,0.0,4.158516789515792,1.0473659512236648
0.5*CPI,0.05,1.285955775501186,0.7829387818904404
0.5*CPI,0.1,4.64872580260037,1.1994624729407408
0.5*CPI,0.2,5.641736995994843,1.0426515505624359
0.5*CPI,0.3,2.9481709994762437,0.769638711779659
0.5*CPI,0.5,4.474007875201611,0.7181325117327134
0.5*CPI,0.65,1.6647992962593021,0.3387607257427999
0.5*CPI,0.85,0.9693126105879225,0.21761591105570266
PFI,0.0,2.883777159073585,1.4471692660004825
PFI,0.05,1.6035905983663234,1.2512228562401027
PFI,0.1,3.0490103718880555,1.5486844214652498
PFI,0.2,3.358905938310611,1.4438755362479385
PFI,0.3,2.545414548653249,1.3003224372609326
PFI,0.5,3.0770586897306895,1.1331586109985363
PFI,0.65,3.6801349300672195,1.6871530969657431
PFI,0.85,3.152809401346229,1.4547368262385398
LOCO-W,0.0,1.4054692408223723,0.13654184504925224
LOCO-W,0.05,1.5710057830987787,0.989903214520276
LOCO-W,0.1,2.705637795155495,0.5326861743017338
LOCO-W,0.2,2.6748829505457663,0.39552001007009907
LOCO-W,0.3,2.1417198071970738,0.13152233856605133
LOCO-W,0.5,1.8545005845297142,0.22546002458938452
LOCO-W,0.65,1.3000595827155539,0.16640671933078616
LOCO-W,0.85,0.5309480426151746,0.03740520564035917
LOCO-HD,0.0,3.661206436461361,1.0164907724392584
LOCO-HD,0.05,1.2630593711706328,0.8222271227298737
LOCO-HD,0.1,4.112444046320763,1.08870417608711
LOCO-HD,0.2,3.9469147641274374,0.9385822538271832
LOCO-HD,0.3,4.1336034654533504,0.8424775979941104
LOCO-HD,0.5,3.905793506292238,0.5924799976825423
LOCO-HD,0.65,1.8275995745206775,0.40275166265484313
LOCO-HD,0.85,0.9107844398420049,0.24203775316095366
Robust-CPI,0.0,3.52500989316617,0.9874109919727512
Robust-CPI,0.05,1.1155624791555168,0.7897290802242306
Robust-CPI,0.1,4.1190824717049965,1.138452145398579
Robust-CPI,0.2,4.224194706177147,0.9951987730909806
Robust-CPI,0.3,4.191632242916769,0.8801814112012362
Robust-CPI,0.5,3.969380469779931,0.5931383828646764
Robust-CPI,0.65,1.815929788482492,0.3761270646599945
Robust-CPI,0.85,0.8734898268929234,0.2331204496032658
0.5*CPI,0.0,5.0733611929777345,0.5631864442148632
